type,quantity,market_ticker,side,entry_price_cents,exit_price_cents,open_fees_cents,close_fees_cents,realized_pnl_without_fees_cents,realized_pnl_with_fees_cents,close_timestamp,open_timestamp
trade,200,KXNBAGAME-26FEB10LACHOU-HOU,yes,73,100,69,0,5400,5331,2026-02-10T22:41:49-05:00,2026-02-10T20:10:03-05:00
trade,100,KXNBAGAME-26FEB10DALPHX-DAL,yes,25,0,33,0,-2500,-2533,2026-02-10T23:28:59-05:00,2026-02-10T21:14:38-05:00
trade,100,KXNBAGAME-26FEB11CHIBOS-CHI,yes,18,0,26,0,-1800,-1826,2026-02-11T21:55:39-05:00,2026-02-11T19:50:21-05:00
trade,92,KXNBAGAME-26FEB11SASGSW-SAS,yes,57,100,40,0,3956,3916,2026-02-12T00:59:09-05:00,2026-02-11T22:44:07-05:00
trade,100,KXNBAGAME-26FEB11SASGSW-SAS,yes,57,100,43,0,4300,4257,2026-02-12T00:59:09-05:00,2026-02-11T22:44:08-05:00
trade,108,KXNBAGAME-26FEB11SASGSW-SAS,yes,57,100,47,0,4644,4597,2026-02-12T00:59:09-05:00,2026-02-11T22:44:08-05:00
trade,100,KXNCAAMBGAME-26FEB12BRYMASSL-BRY,yes,4,0,7,0,-400,-407,2026-02-12T20:14:00-05:00,2026-02-12T19:14:45-05:00
trade,52,KXNCAAMBGAME-26FEB12UMBCME-ME,yes,3,0,3,0,-156,-159,2026-02-12T20:44:40-05:00,2026-02-12T19:16:30-05:00
trade,48,KXNCAAMBGAME-26FEB12UMBCME-ME,yes,3,0,3,0,-144,-147,2026-02-12T20:44:40-05:00,2026-02-12T19:17:00-05:00
trade,100,KXNCAAMBGAME-26FEB12UVMBING-BING,yes,15,0,23,0,-1500,-1523,2026-02-12T20:54:10-05:00,2026-02-12T19:22:52-05:00
trade,71,KXNCAAMBGAME-26FEB12MTUKENN-MTU,yes,19,100,20,0,5751,5731,2026-02-12T21:08:20-05:00,2026-02-12T19:17:39-05:00
trade,29,KXNCAAMBGAME-26FEB12MTUKENN-MTU,yes,19,100,8,0,2349,2341,2026-02-12T21:08:20-05:00,2026-02-12T19:17:44-05:00
trade,30,KXNCAAMBGAME-26FEB12CCSUNHC-NHC,yes,32,0,12,0,-960,-972,2026-02-12T21:33:50-05:00,2026-02-12T19:20:44-05:00
trade,92,KXNBAGAME-26FEB12MILOKC-OKC,yes,72,0,33,0,-6624,-6657,2026-02-12T22:03:00-05:00,2026-02-12T20:13:32-05:00
trade,8,KXNBAGAME-26FEB12MILOKC-OKC,yes,72,0,3,0,-576,-579,2026-02-12T22:03:00-05:00,2026-02-12T20:13:39-05:00
trade,70,KXNBAGAME-26FEB12MILOKC-OKC,yes,37,0,115,0,-2590,-2705,2026-02-12T22:03:00-05:00,2026-02-12T20:37:34-05:00
trade,30,KXNBAGAME-26FEB12MILOKC-OKC,yes,38,0,49,0,-1140,-1189,2026-02-12T22:03:00-05:00,2026-02-12T20:37:34-05:00
trade,700,KXNBAGAME-26FEB12DALLAL-LAL,yes,69,100,263,0,21700,21437,2026-02-13T00:39:00-05:00,2026-02-12T20:59:44-05:00
trade,100,KXNCAAMBGAME-26FEB13CLMBPENN-PENN,yes,55,100,44,0,4500,4456,2026-02-13T21:34:20-05:00,2026-02-13T18:34:50-05:00
