league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,"Today, 19 May - Qualification",2026-05-19,2026,FearX,Nongshim RedForce,BNK FEARX,Nongshim RedForce,1-2,1,2,1.5,2.6,0.634146,0.365854
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,"Today, 19 May - Qualification",2026-05-19,2026,Hanwha Life,OKSavingsBank Brion,Hanwha Life Esports,HANJIN BRION,2-0,2,0,1.2,5.4,0.818182,0.181818
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,"Yesterday, 18 May - Qualification",2026-05-18,2026,DN SOOPers,Nongshim RedForce,DN SOOPers,Nongshim RedForce,0-2,0,2,2.94,1.42,0.325688,0.674312
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,"Yesterday, 18 May - Qualification",2026-05-18,2026,KT Rolster,OKSavingsBank Brion,KT Rolster,HANJIN BRION,0-2,0,2,1.28,3.8,0.748031,0.251969
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,17 May 2026 - Qualification,2026-05-17,2026,Karmine Corp,Movistar KOI,Karmine Corp,Movistar KOI,3-1,3,1,1.67,2.2,0.568475,0.431525
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,16 May 2026 - Qualification,2026-05-16,2026,G2 Esports,Karmine Corp,G2 Esports,Karmine Corp,3-0,3,0,1.42,2.88,0.669767,0.330233
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,16 May 2026 - Qualification,2026-05-16,2026,Natus Vincere,Movistar KOI,Natus Vincere,Movistar KOI,0-2,0,2,2.84,1.43,0.334895,0.665105
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,15 May 2026 - Qualification,2026-05-15,2026,Movistar KOI,GIANTX,Movistar KOI,GiantX,2-0,2,0,1.29,4.2,0.765027,0.234973
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,15 May 2026 - Qualification,2026-05-15,2026,Natus Vincere,Galions,Natus Vincere,Galions,2-1,2,1,1.43,2.84,0.665105,0.334895
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,14 May 2026 - Qualification,2026-05-14,2026,GIANTX,Solary,GiantX,Solary,2-0,2,0,1.94,1.86,0.489474,0.510526
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,14 May 2026 - Qualification,2026-05-14,2026,G2 Esports,Natus Vincere,G2 Esports,Natus Vincere,2-0,2,0,1.24,4.1,0.76779,0.23221
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,14 May 2026 - Qualification,2026-05-14,2026,Karmine Corp,Movistar KOI,Karmine Corp,Movistar KOI,2-0,2,0,1.72,2.12,0.552083,0.447917
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,12 May 2026 - Qualification,2026-05-12,2026,Hanwha Life,Dplus Kia,Hanwha Life Esports,Dplus Kia,1-2,1,2,1.28,3.8,0.748031,0.251969
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,12 May 2026 - Qualification,2026-05-12,2026,FearX,T1,BNK FEARX,T1,0-2,0,2,4.5,1.22,0.213287,0.786713
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,05 May 2026 - Qualification,2026-05-05,2026,Dplus Kia,Nongshim RedForce,Dplus Kia,Nongshim RedForce,2-0,2,0,1.35,3.25,0.706522,0.293478
EWC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-esports-world-cup/results/,05 May 2026 - Qualification,2026-05-05,2026,Hanwha Life,DN SOOPers,Hanwha Life Esports,DN SOOPers,2-0,2,0,1.05,10.0,0.904977,0.095023
