league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,17 May 2026 - Spring Season,2026-05-17,2026,Sentinels,Dignitas,Sentinels,Dignitas,2-0,2,0,1.16,6.15,0.841313,0.158687
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,16 May 2026 - Spring Season,2026-05-16,2026,Team Liquid,Cloud9,Team Liquid,Cloud9,0-2,0,2,2.18,1.71,0.439589,0.560411
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,10 May 2026 - Spring Season,2026-05-10,2026,Lyon Gaming,Team Liquid,Lyon Gaming,Team Liquid,2-1,2,1,1.92,2.07,0.518797,0.481203
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,10 May 2026 - Spring Season,2026-05-10,2026,Cloud9,FlyQuest eSports,Cloud9,FlyQuest eSports,2-1,2,1,1.49,2.94,0.663657,0.336343
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,09 May 2026 - Spring Season,2026-05-09,2026,Disguised,Dignitas,Disguised,Dignitas,2-0,2,0,1.3,3.0,0.697674,0.302326
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,09 May 2026 - Spring Season,2026-05-09,2026,Shopify Rebellion,Sentinels,Shopify Rebellion,Sentinels,0-2,0,2,3.48,1.36,0.280992,0.719008
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,03 May 2026 - Spring Season,2026-05-03,2026,Lyon Gaming,Sentinels,Lyon Gaming,Sentinels,2-0,2,0,1.54,2.6,0.628019,0.371981
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,02 May 2026 - Spring Season,2026-05-02,2026,Team Liquid,Disguised,Team Liquid,Disguised,2-0,2,0,1.12,7.8,0.874439,0.125561
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,02 May 2026 - Spring Season,2026-05-02,2026,Cloud9,Dignitas,Cloud9,Dignitas,2-1,2,1,1.05,11.9,0.918919,0.081081
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,26 Apr 2026 - Spring Season,2026-04-26,2026,Team Liquid,Sentinels,Team Liquid,Sentinels,2-1,2,1,1.03,7.5,0.87925,0.12075
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,25 Apr 2026 - Spring Season,2026-04-25,2026,Cloud9,Shopify Rebellion,Cloud9,Shopify Rebellion,2-0,2,0,1.04,7.0,0.870647,0.129353
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,25 Apr 2026 - Spring Season,2026-04-25,2026,FlyQuest eSports,Dignitas,FlyQuest eSports,Dignitas,2-0,2,0,1.22,4.51,0.787086,0.212914
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,19 Apr 2026 - Spring Season,2026-04-19,2026,Dignitas,Team Liquid,Dignitas,Team Liquid,1-2,1,2,6.3,1.12,0.150943,0.849057
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,18 Apr 2026 - Spring Season,2026-04-18,2026,Sentinels,FlyQuest eSports,Sentinels,FlyQuest eSports,2-1,2,1,1.62,2.05,0.558583,0.441417
LCS,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lcs/results/,18 Apr 2026 - Spring Season,2026-04-18,2026,Disguised,Cloud9,Disguised,Cloud9,0-2,0,2,5.8,1.14,0.164265,0.835735
