league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,01 Sep 2024 - Grand Final,2024-09-01,2024,Fnatic,G2 Esports,Fnatic,G2 Esports,1-3,1,3,3.27,1.38,0.296774,0.703226
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,31 Aug 2024 - Grand Final,2024-08-31,2024,Movistar KOI,G2 Esports,Movistar KOI,G2 Esports,1-3,1,3,4.0,1.29,0.243856,0.756144
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,24 Aug 2024 - Grand Final,2024-08-24,2024,Movistar KOI,Fnatic,Movistar KOI,Fnatic,2-3,2,3,3.1,1.45,0.318681,0.681319
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,23 Aug 2024 - Grand Final,2024-08-23,2024,G2 Esports,Shifters,G2 Esports,Shifters,3-2,3,2,1.29,3.8,0.746562,0.253438
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,18 Aug 2024 - Grand Final,2024-08-18,2024,G2 Esports,GIANTX,G2 Esports,GiantX,3-0,3,0,1.06,10.6,0.909091,0.090909
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,17 Aug 2024 - Grand Final,2024-08-17,2024,Shifters,SK Gaming,Shifters,SK Gaming,3-0,3,0,1.83,2.07,0.530769,0.469231
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,11 Aug 2024 - Grand Final,2024-08-11,2024,G2 Esports,Movistar KOI,G2 Esports,Movistar KOI,2-3,2,3,1.05,11.9,0.918919,0.081081
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,10 Aug 2024 - Grand Final,2024-08-10,2024,Fnatic,Shifters,Fnatic,Shifters,3-0,3,0,1.45,2.84,0.662005,0.337995
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,28 Jul 2024 - Summer - Stage 2,2024-07-28,2024,Fnatic,G2 Esports,Fnatic,G2 Esports,0-3,0,3,2.7,1.5,0.357143,0.642857
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,27 Jul 2024 - Summer - Stage 2,2024-07-27,2024,Shifters,G2 Esports,Shifters,G2 Esports,1-3,1,3,4.5,1.22,0.213287,0.786713
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,26 Jul 2024 - Summer - Stage 2,2024-07-26,2024,Shifters,Karmine Corp,Shifters,Karmine Corp,3-2,3,2,1.45,2.7,0.650602,0.349398
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,23 Jul 2024 - Summer - Stage 2,2024-07-23,2024,SK Gaming,Karmine Corp,SK Gaming,Karmine Corp,1-2,1,2,1.44,2.99,0.674944,0.325056
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,23 Jul 2024 - Summer - Stage 2,2024-07-23,2024,Shifters,GIANTX,Shifters,GiantX,2-1,2,1,1.21,4.4,0.784314,0.215686
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,22 Jul 2024 - Summer - Stage 2,2024-07-22,2024,Fnatic,G2 Esports,Fnatic,G2 Esports,3-2,3,2,3.72,1.3,0.258964,0.741036
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,21 Jul 2024 - Summer - Stage 2,2024-07-21,2024,Movistar KOI,Karmine Corp,Movistar KOI,Karmine Corp,0-2,0,2,1.72,2.0,0.537634,0.462366
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,21 Jul 2024 - Summer - Stage 2,2024-07-21,2024,Heretics,GIANTX,Heretics,GiantX,1-2,1,2,1.65,2.56,0.608076,0.391924
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,14 Jul 2024 - Summer - Stage 2,2024-07-14,2024,Shifters,G2 Esports,Shifters,G2 Esports,0-2,0,2,3.54,1.3,0.268595,0.731405
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,14 Jul 2024 - Summer - Stage 2,2024-07-14,2024,SK Gaming,Fnatic,SK Gaming,Fnatic,0-2,0,2,1.67,2.24,0.57289,0.42711
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,13 Jul 2024 - Summer - Stage 2,2024-07-13,2024,G2 Esports,Karmine Corp,G2 Esports,Karmine Corp,2-0,2,0,1.1,6.66,0.858247,0.141753
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,13 Jul 2024 - Summer - Stage 2,2024-07-13,2024,Fnatic,GIANTX,Fnatic,GiantX,2-1,2,1,1.2,4.47,0.78836,0.21164
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,12 Jul 2024 - Summer - Stage 2,2024-07-12,2024,Shifters,Movistar KOI,Shifters,Movistar KOI,2-1,2,1,1.23,3.96,0.763006,0.236994
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,12 Jul 2024 - Summer - Stage 2,2024-07-12,2024,SK Gaming,Heretics,SK Gaming,Heretics,2-0,2,0,1.25,3.96,0.760077,0.239923
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,30 Jun 2024 - Summer - Stage 1,2024-06-30,2024,Movistar KOI,Vitality,Movistar KOI,Vitality,1-0,1,0,2.0,1.72,0.462366,0.537634
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,30 Jun 2024 - Summer - Stage 1,2024-06-30,2024,Movistar KOI,Rogue,Movistar KOI,Rogue,1-0,1,0,1.55,2.3,0.597403,0.402597
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,30 Jun 2024 - Summer - Stage 1,2024-06-30,2024,GIANTX,Karmine Corp,GiantX,Karmine Corp,0-1,0,1,1.85,1.85,0.5,0.5
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,30 Jun 2024 - Summer - Stage 1,2024-06-30,2024,Heretics,G2 Esports,Heretics,G2 Esports,0-1,0,1,5.13,1.17,0.185714,0.814286
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,30 Jun 2024 - Summer - Stage 1,2024-06-30,2024,Shifters,Fnatic,Shifters,Fnatic,1-0,1,0,1.8,1.95,0.52,0.48
LEC,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/,30 Jun 2024 - Summer - Stage 1,2024-06-30,2024,Vitality,SK Gaming,Vitality,SK Gaming,0-1,0,1,2.75,1.5,0.352941,0.647059
