league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,27 Sep 2025 - Regional Finals,2025-09-27,2025,JD Gaming,Invictus Gaming,JD Gaming,Invictus Gaming,1-3,1,3,2.2,1.82,0.452736,0.547264
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,26 Sep 2025 - Regional Finals,2025-09-26,2025,JD Gaming,Weibo Gaming,JD Gaming,Weibo Gaming,3-1,3,1,1.8,2.08,0.536082,0.463918
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,25 Sep 2025 - Regional Finals,2025-09-25,2025,Top Esports,Invictus Gaming,Top Esports,Invictus Gaming,3-1,3,1,1.42,3.14,0.688596,0.311404
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,21 Sep 2025 - Fall - Play Offs,2025-09-21,2025,Top Esports,Bilibili Gaming,Top Esports,Bilibili Gaming,2-3,2,3,2.05,1.82,0.470284,0.529716
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,20 Sep 2025 - Fall - Play Offs,2025-09-20,2025,Anyone's Legend,Top Esports,Anyone's Legend,Top Esports,1-3,1,3,1.97,1.92,0.493573,0.506427
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,16 Sep 2025 - Fall - Play Offs,2025-09-16,2025,JD Gaming,Anyone's Legend,JD Gaming,Anyone's Legend,0-3,0,3,3.85,1.29,0.250973,0.749027
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,15 Sep 2025 - Fall - Play Offs,2025-09-15,2025,Bilibili Gaming,Top Esports,Bilibili Gaming,Top Esports,3-2,3,2,1.9,1.95,0.506494,0.493506
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,14 Sep 2025 - Fall - Play Offs,2025-09-14,2025,Invictus Gaming,Anyone's Legend,Invictus Gaming,Anyone's Legend,0-3,0,3,1.81,2.1,0.537084,0.462916
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,13 Sep 2025 - Fall - Play Offs,2025-09-13,2025,Weibo Gaming,JD Gaming,Weibo Gaming,JD Gaming,1-3,1,3,1.6,2.6,0.619048,0.380952
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,12 Sep 2025 - Fall - Play Offs,2025-09-12,2025,Anyone's Legend,Ninjas in Pyjamas,Anyone's Legend,Ninjas in Pyjamas,3-1,3,1,1.17,6.2,0.841248,0.158752
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,11 Sep 2025 - Fall - Play Offs,2025-09-11,2025,JD Gaming,EDward Gaming,JD Gaming,EDward Gaming,3-2,3,2,1.44,3.0,0.675676,0.324324
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,10 Sep 2025 - Fall - Play Offs,2025-09-10,2025,Weibo Gaming,Top Esports,Weibo Gaming,Top Esports,1-3,1,3,3.25,1.35,0.293478,0.706522
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,09 Sep 2025 - Fall - Play Offs,2025-09-09,2025,Bilibili Gaming,Invictus Gaming,Bilibili Gaming,Invictus Gaming,3-1,3,1,2.35,1.66,0.413965,0.586035
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,08 Sep 2025 - Fall - Play Offs,2025-09-08,2025,Top Esports,Ninjas in Pyjamas,Top Esports,Ninjas in Pyjamas,3-1,3,1,1.12,7.2,0.865385,0.134615
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,08 Sep 2025 - Fall - Play Offs,2025-09-08,2025,Weibo Gaming,JD Gaming,Weibo Gaming,JD Gaming,2-0,2,0,1.75,2.16,0.55243,0.44757
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,08 Sep 2025 - Fall - Play Offs,2025-09-08,2025,Anyone's Legend,Weibo Gaming,Anyone's Legend,Weibo Gaming,2-3,2,3,1.32,3.45,0.72327,0.27673
LPL,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/,07 Sep 2025 - Fall - Play Offs,2025-09-07,2025,Invictus Gaming,EDward Gaming,Invictus Gaming,EDward Gaming,3-0,3,0,1.12,8.0,0.877193,0.122807
