league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,14 Sep 2024 - Regional Finals,2024-09-14,2024,T1,KT Rolster,T1,KT Rolster,3-2,3,2,1.36,3.27,0.706263,0.293737
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,13 Sep 2024 - Regional Finals,2024-09-13,2024,KT Rolster,FearX,KT Rolster,BNK FEARX,3-0,3,0,1.3,3.58,0.733607,0.266393
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,12 Sep 2024 - Regional Finals,2024-09-12,2024,T1,Dplus Kia,T1,Dplus Kia,2-3,2,3,1.29,4.33,0.770463,0.229537
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,08 Sep 2024 - Summer - Play offs,2024-09-08,2024,Gen.G,Hanwha Life,Gen.G,Hanwha Life Esports,2-3,2,3,1.15,4.8,0.806723,0.193277
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,07 Sep 2024 - Summer - Play offs,2024-09-07,2024,Hanwha Life,T1,Hanwha Life Esports,T1,3-1,3,1,1.57,2.5,0.614251,0.385749
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,01 Sep 2024 - Summer - Play offs,2024-09-01,2024,Dplus Kia,T1,Dplus Kia,T1,1-3,1,3,2.5,1.61,0.391727,0.608273
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,31 Aug 2024 - Summer - Play offs,2024-08-31,2024,Gen.G,Hanwha Life,Gen.G,Hanwha Life Esports,3-1,3,1,1.22,4.51,0.787086,0.212914
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,29 Aug 2024 - Summer - Play offs,2024-08-29,2024,Hanwha Life,T1,Hanwha Life Esports,T1,3-0,3,0,1.72,2.27,0.568922,0.431078
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,28 Aug 2024 - Summer - Play offs,2024-08-28,2024,Gen.G,Dplus Kia,Gen.G,Dplus Kia,3-0,3,0,1.13,6.64,0.854569,0.145431
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,24 Aug 2024 - Summer - Play offs,2024-08-24,2024,T1,KT Rolster,T1,KT Rolster,3-1,3,1,1.31,3.57,0.731557,0.268443
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,23 Aug 2024 - Summer - Play offs,2024-08-23,2024,Dplus Kia,FearX,Dplus Kia,BNK FEARX,3-1,3,1,1.15,6.15,0.842466,0.157534
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,18 Aug 2024 - Summer Season,2024-08-18,2024,Hanwha Life,Gen.G,Hanwha Life Esports,Gen.G,0-2,0,2,3.1,1.4,0.311111,0.688889
LCK,1,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lck-2024/results/,18 Aug 2024 - Summer Season,2024-08-18,2024,Nongshim RedForce,OKSavingsBank Brion,Nongshim RedForce,HANJIN BRION,2-0,2,0,1.5,2.71,0.643705,0.356295
