gameid,date,league,year,split,playoffs,game,patch,blue_team,red_team,blue_elo,red_elo,elo_diff,elo_diff_signed_sq,top_elo_diff,jng_elo_diff,mid_elo_diff,bot_elo_diff,sup_elo_diff,blue_rwr,red_rwr,rwr_diff,h2h_wr,role_h2h_wr,role_h2h_signed_sq,gd20_diff,gd15_diff,top_gd15_diff,jng_gd15_diff,mid_gd15_diff,bot_gd15_diff,sup_gd15_diff,outperf_diff,outperf_exp_diff,outperf_elo_diff,outperf_elo_exp_diff,rwr_exp_diff,gd15_exp_diff,first_blood_diff,first_dragon_diff,first_tower_diff,kill_diff_diff,game_len_diff,dragons_diff,barons_diff,blue_days_since,red_days_since,days_since_diff,blue_first_pick,series_score,q_blue_win,blue_win
LOLTMNT06_13630,2024-01-13 16:10:20+00:00,LEC,2024,Winter,0,1,14.01,Team BDS,G2 Esports,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0
LOLTMNT06_12701,2024-01-13 17:06:48+00:00,LEC,2024,Winter,0,1,14.01,Rogue,SK Gaming,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.536269,0
LOLTMNT06_13667,2024-01-13 18:15:52+00:00,LEC,2024,Winter,0,1,14.01,Karmine Corp,Fnatic,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.410579,0
LOLTMNT06_12743,2024-01-13 19:24:48+00:00,LEC,2024,Winter,0,1,14.01,Team Vitality,GiantX,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.534884,0
LOLTMNT06_13695,2024-01-13 20:28:03+00:00,LEC,2024,Winter,0,1,14.01,Movistar KOI,Team Heretics,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.37561,1
LOLTMNT06_12814,2024-01-14 16:38:26+00:00,LEC,2024,Winter,0,1,14.01,GiantX,Team BDS,1524.0,1476.0,48.0,2304.0,48.0,48.0,48.0,48.0,48.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,-1.0,1,0,,0
LOLTMNT06_13803,2024-01-14 17:39:16+00:00,LEC,2024,Winter,0,1,14.01,Movistar KOI,SK Gaming,1524.0,1524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,-1.0,1,0,0.488,0
LOLTMNT06_12845,2024-01-14 18:59:08+00:00,LEC,2024,Winter,0,1,14.01,G2 Esports,Karmine Corp,1524.0,1476.0,48.0,2304.0,48.0,48.0,48.0,48.0,48.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1,0,0.718954,1
LOLTMNT06_13841,2024-01-14 19:55:50+00:00,LEC,2024,Winter,0,1,14.01,Fnatic,Team Vitality,1524.0,1476.0,48.0,2304.0,48.0,48.0,48.0,48.0,48.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1,0,0.652174,1
LOLTMNT06_12874,2024-01-14 20:53:16+00:00,LEC,2024,Winter,0,1,14.01,Rogue,Team Heretics,1476.0,1476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1,0,,0
LOLTMNT06_13896,2024-01-15 16:07:11+00:00,LEC,2024,Winter,0,1,14.01,Team Vitality,Team BDS,1455.294786810416,1503.294786810416,-48.0,-2304.0,-48.0,-48.0,-48.0,-48.0,-48.0,,,,,0.5,0.0,-2919.0,-739.4,-1723.5,189.0,-1087.0,-794.0,-281.5,,,,,,-747.6235294117647,,,,,,,,0.0,0.0,0.0,1,0,,0
LOLTMNT06_13904,2024-01-15 17:07:09+00:00,LEC,2024,Winter,0,1,14.01,G2 Esports,Rogue,1544.705213189584,1452.0,92.7052131895839,8594.256552526202,92.7052131895839,92.7052131895839,92.7052131895839,92.7052131895839,92.7052131895839,,,,,0.5,0.0,733.0,24.899999999999977,-655.5,977.0,-306.0,-136.5,245.5,,,,,,78.63529411764708,,,,,,,,0.0,0.0,0.0,1,0,0.811502,0
LOLTMNT06_12924,2024-01-15 18:12:10+00:00,LEC,2024,Winter,0,1,14.01,Team Heretics,GiantX,1500.0,1496.705213189584,3.294786810416099,10.85562012609189,3.294786810416099,3.294786810416099,3.294786810416099,3.294786810416099,3.294786810416099,,,,,0.5,0.0,-2977.0,-431.3,444.5,-882.5,-874.0,-905.0,60.5,,,,,,-301.7882352941176,,,,,,,,0.0,1.0,-1.0,1,0,0.485714,1
LOLTMNT06_13954,2024-01-15 19:11:40+00:00,LEC,2024,Winter,0,1,14.01,Karmine Corp,Movistar KOI,1455.294786810416,1500.0,-44.7052131895839,-1998.5560863261464,-44.7052131895839,-44.7052131895839,-44.7052131895839,-44.7052131895839,-44.7052131895839,,,,,0.5,0.0,-3871.0,-426.7,73.0,-1189.0,-906.0,-71.0,-40.5,,,,,,-341.34117647058827,,,,,,,,1.0,1.0,0.0,1,0,0.576142,0
LOLTMNT06_12963,2024-01-15 20:13:37+00:00,LEC,2024,Winter,0,1,14.01,SK Gaming,Fnatic,1548.0,1544.705213189584,3.294786810416099,10.85562012609189,3.294786810416099,3.294786810416099,3.294786810416099,3.294786810416099,3.294786810416099,,,,,0.5,0.0,648.0,-332.7,-844.5,208.5,-1026.0,-154.5,153.0,,,,,,-386.82352941176464,,,,,,,,1.0,1.0,0.0,1,0,0.37561,1
LOLTMNT02_22165,2024-01-17 08:20:00+00:00,LCK,2024,Spring,0,1,14.01,Kiwoom DRX,Nongshim RedForce,1620.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.5724674194687841,0
LOLTMNT02_21206,2024-01-17 09:25:01+00:00,LCK,2024,Spring,0,2,14.01,Kiwoom DRX,Nongshim RedForce,1596.0,1644.0,-48.0,-2304.0,-48.0,-48.0,-48.0,-48.0,-48.0,,,,,0.4166666666666667,-0.006944444444444442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1,-1,0.5724674194687841,0
LOLTMNT02_22225,2024-01-17 11:06:26+00:00,LCK,2024,Spring,0,1,14.01,Gen.G,T1,1620.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.4383949298429383,0
LOLTMNT02_21273,2024-01-17 11:57:38+00:00,LCK,2024,Spring,0,2,14.01,T1,Gen.G,1644.0,1596.0,48.0,2304.0,48.0,48.0,48.0,48.0,48.0,,,,,0.5833333333333334,0.00694444444444445,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,0.5616050701570616,0
