gameid,league,date,time_min,gold_diff,xp_diff,cs_diff,kill_diff,prior_p_blue,blue_wins
LOLTMNT03_337058,LCK,2026-01-14T08:13:43+00:00,10,1979.0,1580.0,47.0,2,0.365001829752667,1
LOLTMNT03_337058,LCK,2026-01-14T08:13:43+00:00,15,514.0,1888.0,57.0,0,0.365001829752667,1
LOLTMNT03_337058,LCK,2026-01-14T08:13:43+00:00,20,4409.0,6065.0,85.0,5,0.365001829752667,1
LOLTMNT03_337058,LCK,2026-01-14T08:13:43+00:00,25,5395.0,6739.0,110.0,5,0.365001829752667,1
LOLTMNT03_337069,LCK,2026-01-14T09:06:16+00:00,10,-73.0,438.0,25.0,-1,0.427556585820108,0
LOLTMNT03_337069,LCK,2026-01-14T09:06:16+00:00,15,-1720.0,-456.0,-4.0,-2,0.427556585820108,0
LOLTMNT03_337069,LCK,2026-01-14T09:06:16+00:00,20,-4793.0,-2125.0,-44.0,-3,0.427556585820108,0
LOLTMNT03_337069,LCK,2026-01-14T09:06:16+00:00,25,-9969.0,-8536.0,-87.0,-8,0.427556585820108,0
LOLTMNT03_337081,LCK,2026-01-14T09:54:54+00:00,10,2301.0,547.0,21.0,3,0.721295339943288,1
LOLTMNT03_337081,LCK,2026-01-14T09:54:54+00:00,15,562.0,-717.0,28.0,0,0.721295339943288,1
LOLTMNT03_337081,LCK,2026-01-14T09:54:54+00:00,20,1067.0,-1803.0,23.0,-1,0.721295339943288,1
LOLTMNT03_337081,LCK,2026-01-14T09:54:54+00:00,25,114.0,-2189.0,28.0,-2,0.721295339943288,1
LOLTMNT03_337109,LCK,2026-01-14T11:22:18+00:00,10,2220.0,1425.0,30.0,2,0.789180126068389,1
LOLTMNT03_337109,LCK,2026-01-14T11:22:18+00:00,15,4255.0,3108.0,63.0,4,0.789180126068389,1
LOLTMNT03_337109,LCK,2026-01-14T11:22:18+00:00,20,7854.0,5198.0,94.0,8,0.789180126068389,1
LOLTMNT03_337109,LCK,2026-01-14T11:22:18+00:00,25,9330.0,8700.0,150.0,7,0.789180126068389,1
LOLTMNT03_336084,LCK,2026-01-14T12:11:18+00:00,10,2267.0,2014.0,30.0,3,0.802086157806149,1
LOLTMNT03_336084,LCK,2026-01-14T12:11:18+00:00,15,5438.0,5109.0,69.0,8,0.802086157806149,1
LOLTMNT03_336084,LCK,2026-01-14T12:11:18+00:00,20,7104.0,5036.0,77.0,9,0.802086157806149,1
LOLTMNT03_336084,LCK,2026-01-14T12:11:18+00:00,25,14323.0,14591.0,118.0,17,0.802086157806149,1
LOLTMNT03_336244,LCK,2026-01-15T08:05:23+00:00,10,953.0,1116.0,10.0,1,0.12504320668667,0
LOLTMNT03_336244,LCK,2026-01-15T08:05:23+00:00,15,369.0,463.0,13.0,0,0.12504320668667,0
LOLTMNT03_336244,LCK,2026-01-15T08:05:23+00:00,20,-4636.0,-4015.0,-27.0,-5,0.12504320668667,0
LOLTMNT03_336244,LCK,2026-01-15T08:05:23+00:00,25,-2405.0,1083.0,-47.0,-3,0.12504320668667,0
LOLTMNT03_336246,LCK,2026-01-15T08:56:47+00:00,10,1905.0,368.0,39.0,2,0.928810180485767,1
LOLTMNT03_336246,LCK,2026-01-15T08:56:47+00:00,15,5562.0,3494.0,73.0,8,0.928810180485767,1
LOLTMNT03_336246,LCK,2026-01-15T08:56:47+00:00,20,11261.0,8505.0,124.0,16,0.928810180485767,1
LOLTMNT03_336246,LCK,2026-01-15T08:56:47+00:00,25,18727.0,18445.0,167.0,29,0.928810180485767,1
LOLTMNT03_337298,LCK,2026-01-15T10:15:24+00:00,10,285.0,651.0,15.0,-1,0.49753165407704,0
LOLTMNT03_337298,LCK,2026-01-15T10:15:24+00:00,15,78.0,1016.0,29.0,-2,0.49753165407704,0
LOLTMNT03_337298,LCK,2026-01-15T10:15:24+00:00,20,1513.0,3005.0,26.0,0,0.49753165407704,0
LOLTMNT03_337298,LCK,2026-01-15T10:15:24+00:00,25,-2930.0,727.0,23.0,-6,0.49753165407704,0
LOLTMNT03_337304,LCK,2026-01-15T11:14:42+00:00,10,2387.0,1780.0,32.0,3,0.662267519591025,1
LOLTMNT03_337304,LCK,2026-01-15T11:14:42+00:00,15,1243.0,761.0,28.0,1,0.662267519591025,1
LOLTMNT03_337304,LCK,2026-01-15T11:14:42+00:00,20,1984.0,300.0,5.0,2,0.662267519591025,1
LOLTMNT03_337304,LCK,2026-01-15T11:14:42+00:00,25,4184.0,1189.0,50.0,2,0.662267519591025,1
LOLTMNT03_336495,LCK,2026-01-16T08:05:40+00:00,10,-1179.0,264.0,13.0,-2,0.749271908966052,1
LOLTMNT03_336495,LCK,2026-01-16T08:05:40+00:00,15,559.0,1242.0,34.0,0,0.749271908966052,1
LOLTMNT03_336495,LCK,2026-01-16T08:05:40+00:00,20,5691.0,5460.0,70.0,5,0.749271908966052,1
LOLTMNT03_336495,LCK,2026-01-16T08:05:40+00:00,25,11211.0,13243.0,109.0,14,0.749271908966052,1
LOLTMNT03_336502,LCK,2026-01-16T08:53:11+00:00,10,1135.0,1925.0,59.0,0,0.762668803184266,1
LOLTMNT03_336502,LCK,2026-01-16T08:53:11+00:00,15,1003.0,1658.0,85.0,-2,0.762668803184266,1
LOLTMNT03_336502,LCK,2026-01-16T08:53:11+00:00,20,3235.0,3401.0,118.0,-1,0.762668803184266,1
LOLTMNT03_336502,LCK,2026-01-16T08:53:11+00:00,25,11419.0,11769.0,154.0,6,0.762668803184266,1
LOLTMNT03_337590,LCK,2026-01-16T10:08:16+00:00,10,4.0,-180.0,-8.0,0,0.552940488342621,0
LOLTMNT03_337590,LCK,2026-01-16T10:08:16+00:00,15,1320.0,1448.0,4.0,1,0.552940488342621,0
LOLTMNT03_337590,LCK,2026-01-16T10:08:16+00:00,20,661.0,905.0,3.0,0,0.552940488342621,0
LOLTMNT03_337590,LCK,2026-01-16T10:08:16+00:00,25,1137.0,1817.0,0.0,0,0.552940488342621,0
LOLTMNT03_336511,LCK,2026-01-16T11:07:37+00:00,10,-272.0,-277.0,26.0,-2,0.606917980729216,0
LOLTMNT03_336511,LCK,2026-01-16T11:07:37+00:00,15,-1892.0,-1737.0,3.0,-4,0.606917980729216,0
LOLTMNT03_336511,LCK,2026-01-16T11:07:37+00:00,20,-3691.0,-2296.0,-4.0,-6,0.606917980729216,0
