snapshot_time,slug,match_date,tournament,league_label,best_of,team1,team2,team1_mid,team2_mid,mid_source,volume
2026-05-21T22:07:01.141911+00:00,lol-bro1-t1a-2026-05-22,2026-05-22T00:00:00+00:00,LCK Challengers League Rounds 1-2,Other,3,HANJIN BRION Challengers,T1 Academy,0.13,0.87,clob_mid,1894.0
2026-05-21T22:07:01.141911+00:00,lol-bro2-t1-2026-05-24,2026-05-24T00:00:00+00:00,LCK Rounds 1-2,LCK,3,HANJIN BRION,T1,0.145,0.855,clob_mid,1031.0
2026-05-21T22:07:01.141911+00:00,lol-vit-mkoi-2026-05-23,2026-05-23T00:00:00+00:00,LEC Playoffs,LEC,5,Team Vitality,Movistar KOI,0.435,0.565,clob_mid,9485.0
2026-05-21T22:07:01.141911+00:00,lol-kc-g2-2026-05-24,2026-05-24T00:00:00+00:00,LEC Playoffs,LEC,5,Karmine Corp,G2 Esports,0.305,0.695,clob_mid,7573.0
2026-05-21T22:07:01.141911+00:00,lol-vks-los-2026-05-23,2026-05-23T00:00:00+00:00,CBLOL Playoffs,Other,5,Vivo Keyd Stars,LOS,0.5,0.5,clob_mid,1460.0
2026-05-21T22:07:01.141911+00:00,lol-dk-t1-2026-05-25,2026-05-25T00:00:00+00:00,Esports World Cup Korea Qualifier Playoffs,EWC,5,Dplus Kia,T1,0.285,0.715,clob_mid,536.0
2026-05-21T22:07:01.141911+00:00,lol-ktc-foxy-2026-05-22,2026-05-22T00:00:00+00:00,LCK Challengers League Rounds 1-2,Other,3,KT Rolster Challengers,BNK FearX Youth,0.695,0.305,clob_mid,34515.0
2026-05-21T22:07:01.141911+00:00,lol-dnf-drx-2026-05-22,2026-05-22T00:00:00+00:00,LCK Rounds 1-2,LCK,3,DN SOOPers,Kiwoom DRX,0.285,0.715,clob_mid,8078.0
2026-05-21T22:07:01.141911+00:00,lol-kt-gen-2026-05-22,2026-05-22T00:00:00+00:00,LCK Rounds 1-2,LCK,3,KT Rolster,Gen.G,0.195,0.805,clob_mid,549021.0
2026-05-21T22:07:01.141911+00:00,lol-dk-fox1-2026-05-23,2026-05-23T00:00:00+00:00,LCK Rounds 1-2,LCK,3,Dplus Kia,BNK FEARX,0.755,0.245,clob_mid,10985.0
2026-05-21T22:07:01.141911+00:00,lol-ns-hle1-2026-05-25,2026-05-25T00:00:00+00:00,Esports World Cup Korea Qualifier Playoffs,EWC,3,Nongshim RedForce,Hanwha Life Esports,0.135,0.865,clob_mid,96.0
