series_id,league,year,date_day,blue_team,red_team,oe_winner,oe_loser,oe_score,oe_w_wins,oe_l_wins,num_games,pair_key,page_num,source_url,date_header,match_date,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree,norm_team1,norm_team2,blue_is_team1,format,q_team1,q_team2,q_blue_win,score_match
10665-10665,LPL,2024,2024-01-22,Bilibili Gaming,Top Esports,Bilibili Gaming,Top Esports,3-0,3,0,3,Bilibili Gaming|Top Esports,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,22 Jan 2024 - Spring Season,2024-01-22,Bilibili Gaming,Top Esports,Bilibili Gaming,Top Esports,2-1,2.0,1.0,1.33,3.47,0.722917,0.277083,Bilibili Gaming,Top Esports,True,BO3,0.65342684941536,0.34657315058464,0.65342684941536,True
10666-10666,LPL,2024,2024-01-22,Royal Never Give Up,EDward Gaming,EDward Gaming,Royal Never Give Up,2-1,2,1,3,EDward Gaming|Royal Never Give Up,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,22 Jan 2024 - Spring Season,2024-01-22,Royal Never Give Up,EDward Gaming,Royal Never Give Up,EDward Gaming,2-1,2.0,1.0,1.73,2.1,0.548303,0.451697,Royal Never Give Up,EDward Gaming,True,BO3,0.5322467089975003,0.46775329100249974,0.5322467089975003,True
10667-10667,LPL,2024,2024-01-23,Oh My God,Team WE,Oh My God,Team WE,2-0,2,0,2,Oh My God|Team WE,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,23 Jan 2024 - Spring Season,2024-01-23,Oh My God,Team WE,Oh My God,Team WE,2-0,2.0,0.0,2.71,1.55,0.36385,0.63615,Oh My God,Team WE,True,BO3,0.40820190331476425,0.5917980966852358,0.40820190331476425,True
10668-10668,LPL,2024,2024-01-23,Anyone's Legend,FunPlus Phoenix,Anyone's Legend,FunPlus Phoenix,1-1,1,1,2,Anyone's Legend|FunPlus Phoenix,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,23 Jan 2024 - Spring Season,2024-01-23,Anyone's Legend,FunPlus Phoenix,Anyone's Legend,FunPlus Phoenix,2-0,2.0,0.0,1.68,2.24,0.571429,0.428571,Anyone's Legend,FunPlus Phoenix,True,BO3,0.5477646307897153,0.45223536921028473,0.5477646307897153,True
10669-10669,LPL,2024,2024-01-24,Ninjas in Pyjamas,LGD Gaming,Ninjas in Pyjamas,LGD Gaming,1-1,1,1,2,LGD Gaming|Ninjas in Pyjamas,,,,,,,,,,,,,,,,,,,,,,,
10670-10670,LPL,2024,2024-01-24,Ultra Prime,Invictus Gaming,Ultra Prime,Invictus Gaming,1-1,1,1,2,Invictus Gaming|Ultra Prime,,,,,,,,,,,,,,,,,,,,,,,
10671-10671,LPL,2024,2024-01-25,Weibo Gaming,Rare Atom,Weibo Gaming,Rare Atom,1-1,1,1,2,Rare Atom|Weibo Gaming,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,25 Jan 2024 - Spring Season,2024-01-25,Weibo Gaming,Rare Atom,Weibo Gaming,Rare Atom,2-0,2.0,0.0,1.33,3.57,0.728571,0.271429,Weibo Gaming,Rare Atom,True,BO3,0.6575998978159111,0.3424001021840889,0.6575998978159111,True
10672-10672,LPL,2024,2024-01-25,LNG Esports,ThunderTalk Gaming,ThunderTalk Gaming,LNG Esports,3-0,3,0,3,LNG Esports|TT Gaming,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,25 Jan 2024 - Spring Season,2024-01-25,LNG Esports,TT Gaming,LNG Esports,TT Gaming,1-2,1.0,2.0,1.22,4.51,0.787086,0.212914,LNG Esports,TT Gaming,True,BO3,0.7024549697168018,0.29754503028319823,0.7024549697168018,True
10673-10673,LPL,2024,2024-01-26,Anyone's Legend,Team WE,Anyone's Legend,Team WE,1-1,1,1,2,Anyone's Legend|Team WE,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,26 Jan 2024 - Spring Season,2024-01-26,Anyone's Legend,Team WE,Anyone's Legend,Team WE,0-2,0.0,2.0,1.95,1.92,0.496124,0.503876,Anyone's Legend,Team WE,True,BO3,0.4974159769946448,0.5025840230053552,0.4974159769946448,True
10674-10674,LPL,2024,2024-01-26,Oh My God,FunPlus Phoenix,Oh My God,FunPlus Phoenix,1-1,1,1,2,FunPlus Phoenix|Oh My God,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,26 Jan 2024 - Spring Season,2024-01-26,Oh My God,FunPlus Phoenix,Oh My God,FunPlus Phoenix,0-2,0.0,2.0,1.5,2.71,0.643705,0.356295,Oh My God,FunPlus Phoenix,True,BO3,0.5970210220230041,0.4029789779769959,0.5970210220230041,True
10675-10675,LPL,2024,2024-01-26,Bilibili Gaming,Royal Never Give Up,Bilibili Gaming,Royal Never Give Up,1-1,1,1,2,Bilibili Gaming|Royal Never Give Up,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,26 Jan 2024 - Spring Season,2024-01-26,Bilibili Gaming,Royal Never Give Up,Bilibili Gaming,Royal Never Give Up,2-0,2.0,0.0,1.18,5.63,0.826725,0.173275,Bilibili Gaming,Royal Never Give Up,True,BO3,0.7351546945186836,0.26484530548131635,0.7351546945186836,True
10676-10676,LPL,2024,2024-01-27,Invictus Gaming,Ninjas in Pyjamas,Invictus Gaming,Ninjas in Pyjamas,1-1,1,1,2,Invictus Gaming|Ninjas in Pyjamas,,,,,,,,,,,,,,,,,,,,,,,
10677-10677,LPL,2024,2024-01-27,Ultra Prime,LGD Gaming,Ultra Prime,LGD Gaming,2-1,2,1,3,LGD Gaming|Ultra Prime,,,,,,,,,,,,,,,,,,,,,,,
10678-10678,LPL,2024,2024-01-27,Top Esports,EDward Gaming,Top Esports,EDward Gaming,1-1,1,1,2,EDward Gaming|Top Esports,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,27 Jan 2024 - Spring Season,2024-01-27,Top Esports,EDward Gaming,Top Esports,EDward Gaming,2-0,2.0,0.0,1.31,3.57,0.731557,0.268443,Top Esports,EDward Gaming,True,BO3,0.6598136017094454,0.34018639829055464,0.6598136017094454,True
10679-10679,LPL,2024,2024-01-28,ThunderTalk Gaming,Weibo Gaming,ThunderTalk Gaming,Weibo Gaming,1-1,1,1,2,TT Gaming|Weibo Gaming,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,28 Jan 2024 - Spring Season,2024-01-28,TT Gaming,Weibo Gaming,TT Gaming,Weibo Gaming,0-2,0.0,2.0,2.86,1.45,0.336427,0.663573,TT Gaming,Weibo Gaming,True,BO3,0.3891344432104659,0.610865556789534,0.3891344432104659,True
10680-10680,LPL,2024,2024-01-28,Rare Atom,JD Gaming,Rare Atom,JD Gaming,1-1,1,1,2,JD Gaming|Rare Atom,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,28 Jan 2024 - Spring Season,2024-01-28,Rare Atom,JD Gaming,Rare Atom,JD Gaming,0-2,0.0,2.0,9.45,1.08,0.102564,0.897436,Rare Atom,JD Gaming,True,BO3,0.19849994055016867,0.8015000594498314,0.19849994055016867,True
10681-10681,LPL,2024,2024-01-28,Oh My God,LNG Esports,Oh My God,LNG Esports,1-1,1,1,2,LNG Esports|Oh My God,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,28 Jan 2024 - Spring Season,2024-01-28,Oh My God,LNG Esports,Oh My God,LNG Esports,0-2,0.0,2.0,3.47,1.33,0.277083,0.722917,Oh My God,LNG Esports,True,BO3,0.3465731505846399,0.6534268494153601,0.3465731505846399,True
10682-10682,LPL,2024,2024-01-29,FunPlus Phoenix,Team WE,Team WE,FunPlus Phoenix,2-1,2,1,3,FunPlus Phoenix|Team WE,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,29 Jan 2024 - Spring Season,2024-01-29,FunPlus Phoenix,Team WE,FunPlus Phoenix,Team WE,1-2,1.0,2.0,2.71,1.5,0.356295,0.643705,FunPlus Phoenix,Team WE,True,BO3,0.4029789779769958,0.5970210220230042,0.4029789779769958,True
10683-10683,LPL,2024,2024-01-29,Bilibili Gaming,Anyone's Legend,Bilibili Gaming,Anyone's Legend,2-0,2,0,2,Anyone's Legend|Bilibili Gaming,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,29 Jan 2024 - Spring Season,2024-01-29,Bilibili Gaming,Anyone's Legend,Bilibili Gaming,Anyone's Legend,2-0,2.0,0.0,1.04,11.9,0.919629,0.080371,Bilibili Gaming,Anyone's Legend,True,BO3,0.8259083526149442,0.17409164738505578,0.8259083526149442,True
10684-10684,LPL,2024,2024-01-30,Royal Never Give Up,Ultra Prime,Royal Never Give Up,Ultra Prime,1-1,1,1,2,Royal Never Give Up|Ultra Prime,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,30 Jan 2024 - Spring Season,2024-01-30,Royal Never Give Up,Ultra Prime,Royal Never Give Up,Ultra Prime,2-0,2.0,0.0,1.13,7.1,0.862697,0.137303,Royal Never Give Up,Ultra Prime,True,BO3,0.767247535771166,0.232752464228834,0.767247535771166,True
10685-10685,LPL,2024,2024-01-30,LGD Gaming,EDward Gaming,LGD Gaming,EDward Gaming,2-0,2,0,2,EDward Gaming|LGD Gaming,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,30 Jan 2024 - Spring Season,2024-01-30,LGD Gaming,EDward Gaming,LGD Gaming,EDward Gaming,2-0,2.0,0.0,3.07,1.4,0.313199,0.686801,LGD Gaming,EDward Gaming,True,BO3,0.37271649093361603,0.627283509066384,0.37271649093361603,True
10686-10686,LPL,2024,2024-01-31,Rare Atom,Invictus Gaming,Rare Atom,Invictus Gaming,1-1,1,1,2,Invictus Gaming|Rare Atom,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,31 Jan 2024 - Spring Season,2024-01-31,Rare Atom,Invictus Gaming,Rare Atom,Invictus Gaming,0-2,0.0,2.0,1.88,1.96,0.510417,0.489583,Rare Atom,Invictus Gaming,True,BO3,0.5069451133263427,0.49305488667365727,0.5069451133263427,True
10687-10687,LPL,2024,2024-01-31,Ninjas in Pyjamas,JD Gaming,Ninjas in Pyjamas,JD Gaming,1-1,1,1,2,JD Gaming|Ninjas in Pyjamas,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,31 Jan 2024 - Spring Season,2024-01-31,Ninjas in Pyjamas,JD Gaming,Ninjas in Pyjamas,JD Gaming,0-2,0.0,2.0,3.47,1.33,0.277083,0.722917,Ninjas in Pyjamas,JD Gaming,True,BO3,0.3465731505846399,0.6534268494153601,0.3465731505846399,True
10688-10688,LPL,2024,2024-02-01,ThunderTalk Gaming,Oh My God,ThunderTalk Gaming,Oh My God,1-1,1,1,2,Oh My God|TT Gaming,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,01 Feb 2024 - Spring Season,2024-02-01,TT Gaming,Oh My God,TT Gaming,Oh My God,0-2,0.0,2.0,1.45,2.96,0.671202,0.328798,TT Gaming,Oh My God,True,BO3,0.6162281663294755,0.3837718336705245,0.6162281663294755,True
10689-10689,LPL,2024,2024-02-01,LNG Esports,Weibo Gaming,Weibo Gaming,LNG Esports,2-1,2,1,3,LNG Esports|Weibo Gaming,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,01 Feb 2024 - Spring Season,2024-02-01,LNG Esports,Weibo Gaming,LNG Esports,Weibo Gaming,2-1,2.0,1.0,1.65,2.34,0.586466,0.413534,LNG Esports,Weibo Gaming,True,BO3,0.557902844193662,0.442097155806338,0.557902844193662,True
10690-10690,LPL,2024,2024-02-02,Ninjas in Pyjamas,Team WE,Ninjas in Pyjamas,Team WE,2-1,2,1,3,Ninjas in Pyjamas|Team WE,,,,,,,,,,,,,,,,,,,,,,,
10691-10691,LPL,2024,2024-02-02,Ultra Prime,FunPlus Phoenix,Ultra Prime,FunPlus Phoenix,3-0,3,0,3,FunPlus Phoenix|Ultra Prime,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,02 Feb 2024 - Spring Season,2024-02-02,Ultra Prime,FunPlus Phoenix,Ultra Prime,FunPlus Phoenix,2-1,2.0,1.0,4.2,1.24,0.227941,0.772059,Ultra Prime,FunPlus Phoenix,True,BO3,0.30939425062539694,0.6906057493746031,0.30939425062539694,True
10692-10692,LPL,2024,2024-02-02,Anyone's Legend,LGD Gaming,LGD Gaming,Anyone's Legend,2-1,2,1,3,Anyone's Legend|LGD Gaming,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,02 Feb 2024 - Spring Season,2024-02-02,Anyone's Legend,LGD Gaming,Anyone's Legend,LGD Gaming,2-1,2.0,1.0,1.58,2.45,0.60794,0.39206,Anyone's Legend,LGD Gaming,True,BO3,0.5724674194687841,0.4275325805312159,0.5724674194687841,True
10693-10693,LPL,2024,2024-02-03,Top Esports,Rare Atom,Top Esports,Rare Atom,1-1,1,1,2,Rare Atom|Top Esports,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,03 Feb 2024 - Spring Season,2024-02-03,Top Esports,Rare Atom,Top Esports,Rare Atom,2-0,2.0,0.0,1.12,7.95,0.876516,0.123484,Top Esports,Rare Atom,True,BO3,0.7804081974224588,0.21959180257754118,0.7804081974224588,True
10694-10694,LPL,2024,2024-02-03,Invictus Gaming,ThunderTalk Gaming,Invictus Gaming,ThunderTalk Gaming,3-0,3,0,3,Invictus Gaming|TT Gaming,,,,,,,,,,,,,,,,,,,,,,,
10695-10695,LPL,2024,2024-02-03,Bilibili Gaming,EDward Gaming,Bilibili Gaming,EDward Gaming,2-0,2,0,2,Bilibili Gaming|EDward Gaming,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,03 Feb 2024 - Spring Season,2024-02-03,Bilibili Gaming,EDward Gaming,Bilibili Gaming,EDward Gaming,2-0,2.0,0.0,1.06,10.6,0.909091,0.090909,Bilibili Gaming,EDward Gaming,True,BO3,0.8140102245173586,0.1859897754826414,0.8140102245173586,True
10696-10696,LPL,2024,2024-02-04,Oh My God,Ninjas in Pyjamas,Oh My God,Ninjas in Pyjamas,1-1,1,1,2,Ninjas in Pyjamas|Oh My God,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,04 Feb 2024 - Spring Season,2024-02-04,Oh My God,Ninjas in Pyjamas,Oh My God,Ninjas in Pyjamas,0-2,0.0,2.0,3.47,1.38,0.284536,0.715464,Oh My God,Ninjas in Pyjamas,True,BO3,0.35203829871124626,0.6479617012887537,0.35203829871124626,True
10697-10697,LPL,2024,2024-02-04,JD Gaming,LNG Esports,LNG Esports,JD Gaming,2-1,2,1,3,JD Gaming|LNG Esports,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,04 Feb 2024 - Spring Season,2024-02-04,JD Gaming,LNG Esports,JD Gaming,LNG Esports,2-1,2.0,1.0,1.36,3.47,0.718427,0.281573,JD Gaming,LNG Esports,True,BO3,0.6501296814207093,0.34987031857929074,0.6501296814207093,True
10698-10698,LPL,2024,2024-02-04,Royal Never Give Up,Weibo Gaming,Royal Never Give Up,Weibo Gaming,1-1,1,1,2,Royal Never Give Up|Weibo Gaming,6.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/6/,04 Feb 2024 - Spring Season,2024-02-04,Royal Never Give Up,Weibo Gaming,Royal Never Give Up,Weibo Gaming,0-2,0.0,2.0,2.17,1.72,0.442159,0.557841,Royal Never Give Up,Weibo Gaming,True,BO3,0.46136242590503695,0.538637574094963,0.46136242590503695,True
10699-10699,LPL,2024,2024-02-05,Team WE,LGD Gaming,Team WE,LGD Gaming,3-0,3,0,3,LGD Gaming|Team WE,,,,,,,,,,,,,,,,,,,,,,,
10700-10700,LPL,2024,2024-02-05,Ultra Prime,Anyone's Legend,Ultra Prime,Anyone's Legend,2-1,2,1,3,Anyone's Legend|Ultra Prime,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,05 Feb 2024 - Spring Season,2024-02-05,Ultra Prime,Anyone's Legend,Ultra Prime,Anyone's Legend,1-2,1.0,2.0,3.47,1.33,0.277083,0.722917,Ultra Prime,Anyone's Legend,True,BO3,0.3465731505846399,0.6534268494153601,0.3465731505846399,True
10701-10701,LPL,2024,2024-02-06,EDward Gaming,FunPlus Phoenix,FunPlus Phoenix,EDward Gaming,3-0,3,0,3,EDward Gaming|FunPlus Phoenix,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,06 Feb 2024 - Spring Season,2024-02-06,EDward Gaming,FunPlus Phoenix,EDward Gaming,FunPlus Phoenix,1-2,1.0,2.0,1.67,2.34,0.583541,0.416459,EDward Gaming,FunPlus Phoenix,True,BO3,0.5559272431908978,0.4440727568091022,0.5559272431908978,True
10702-10702,LPL,2024,2024-02-06,LNG Esports,Bilibili Gaming,LNG Esports,Bilibili Gaming,1-1,1,1,2,Bilibili Gaming|LNG Esports,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,06 Feb 2024 - Spring Season,2024-02-06,LNG Esports,Bilibili Gaming,LNG Esports,Bilibili Gaming,0-2,0.0,2.0,4.2,1.24,0.227941,0.772059,LNG Esports,Bilibili Gaming,True,BO3,0.30939425062539694,0.6906057493746031,0.30939425062539694,True
10703-10703,LPL,2024,2024-02-07,Invictus Gaming,Royal Never Give Up,Royal Never Give Up,Invictus Gaming,2-1,2,1,3,Invictus Gaming|Royal Never Give Up,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,07 Feb 2024 - Spring Season,2024-02-07,Invictus Gaming,Royal Never Give Up,Invictus Gaming,Royal Never Give Up,2-1,2.0,1.0,2.86,1.45,0.336427,0.663573,Invictus Gaming,Royal Never Give Up,True,BO3,0.3891344432104659,0.610865556789534,0.3891344432104659,True
10704-10704,LPL,2024,2024-02-07,Weibo Gaming,Top Esports,Weibo Gaming,Top Esports,1-1,1,1,2,Top Esports|Weibo Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,07 Feb 2024 - Spring Season,2024-02-07,Weibo Gaming,Top Esports,Weibo Gaming,Top Esports,0-2,0.0,2.0,2.86,1.45,0.336427,0.663573,Weibo Gaming,Top Esports,True,BO3,0.3891344432104659,0.610865556789534,0.3891344432104659,True
10756-10756,LPL,2024,2024-02-18,Ninjas in Pyjamas,Ultra Prime,Ninjas in Pyjamas,Ultra Prime,3-0,3,0,3,Ninjas in Pyjamas|Ultra Prime,,,,,,,,,,,,,,,,,,,,,,,
10757-10757,LPL,2024,2024-02-18,Anyone's Legend,Oh My God,Oh My God,Anyone's Legend,2-1,2,1,3,Anyone's Legend|Oh My God,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,18 Feb 2024 - Spring Season,2024-02-18,Anyone's Legend,Oh My God,Anyone's Legend,Oh My God,2-1,2.0,1.0,2.07,1.8,0.465116,0.534884,Anyone's Legend,Oh My God,True,BO3,0.47672719320010737,0.5232728067998926,0.47672719320010737,True
10758-10758,LPL,2024,2024-02-18,ThunderTalk Gaming,Rare Atom,ThunderTalk Gaming,Rare Atom,2-1,2,1,3,Rare Atom|TT Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,18 Feb 2024 - Spring Season,2024-02-18,TT Gaming,Rare Atom,TT Gaming,Rare Atom,1-2,1.0,2.0,1.5,2.55,0.62963,0.37037,TT Gaming,Rare Atom,True,BO3,0.5873073419967705,0.4126926580032295,0.5873073419967705,True
10759-10759,LPL,2024,2024-02-19,JD Gaming,LGD Gaming,LGD Gaming,JD Gaming,2-1,2,1,3,JD Gaming|LGD Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,19 Feb 2024 - Spring Season,2024-02-19,JD Gaming,LGD Gaming,JD Gaming,LGD Gaming,2-1,2.0,1.0,1.07,9.6,0.899719,0.100281,JD Gaming,LGD Gaming,True,BO3,0.8039026395318909,0.1960973604681091,0.8039026395318909,True
10760-10760,LPL,2024,2024-02-19,EDward Gaming,Team WE,EDward Gaming,Team WE,1-1,1,1,2,EDward Gaming|Team WE,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,19 Feb 2024 - Spring Season,2024-02-19,EDward Gaming,Team WE,EDward Gaming,Team WE,0-2,0.0,2.0,3.11,1.39,0.308889,0.691111,EDward Gaming,Team WE,True,BO3,0.36963885183175615,0.6303611481682438,0.36963885183175615,True
10761-10761,LPL,2024,2024-02-20,FunPlus Phoenix,LNG Esports,LNG Esports,FunPlus Phoenix,3-0,3,0,3,FunPlus Phoenix|LNG Esports,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,20 Feb 2024 - Spring Season,2024-02-20,FunPlus Phoenix,LNG Esports,FunPlus Phoenix,LNG Esports,2-1,2.0,1.0,7.1,1.13,0.137303,0.862697,FunPlus Phoenix,LNG Esports,True,BO3,0.23275246422883403,0.767247535771166,0.23275246422883403,True
10762-10762,LPL,2024,2024-02-20,Invictus Gaming,Bilibili Gaming,Invictus Gaming,Bilibili Gaming,1-1,1,1,2,Bilibili Gaming|Invictus Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,20 Feb 2024 - Spring Season,2024-02-20,Invictus Gaming,Bilibili Gaming,Invictus Gaming,Bilibili Gaming,2-0,2.0,0.0,11.9,1.04,0.080371,0.919629,Invictus Gaming,Bilibili Gaming,True,BO3,0.17409164738505592,0.8259083526149441,0.17409164738505592,True
10763-10763,LPL,2024,2024-02-21,Ultra Prime,Weibo Gaming,Ultra Prime,Weibo Gaming,1-1,1,1,2,Ultra Prime|Weibo Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,21 Feb 2024 - Spring Season,2024-02-21,Ultra Prime,Weibo Gaming,Ultra Prime,Weibo Gaming,0-2,0.0,2.0,6.15,1.14,0.156379,0.843621,Ultra Prime,Weibo Gaming,True,BO3,0.2501146491434448,0.7498853508565553,0.2501146491434448,True
10764-10764,LPL,2024,2024-02-21,Royal Never Give Up,Top Esports,Royal Never Give Up,Top Esports,1-1,1,1,2,Royal Never Give Up|Top Esports,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,21 Feb 2024 - Spring Season,2024-02-21,Royal Never Give Up,Top Esports,Royal Never Give Up,Top Esports,0-2,0.0,2.0,3.8,1.22,0.243028,0.756972,Royal Never Give Up,Top Esports,True,BO3,0.3210438308251114,0.6789561691748887,0.3210438308251114,True
10765-10765,LPL,2024,2024-02-22,ThunderTalk Gaming,Anyone's Legend,ThunderTalk Gaming,Anyone's Legend,1-1,1,1,2,Anyone's Legend|TT Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,22 Feb 2024 - Spring Season,2024-02-22,TT Gaming,Anyone's Legend,TT Gaming,Anyone's Legend,0-2,0.0,2.0,2.17,1.72,0.442159,0.557841,TT Gaming,Anyone's Legend,True,BO3,0.46136242590503695,0.538637574094963,0.46136242590503695,True
10766-10766,LPL,2024,2024-02-22,Rare Atom,Oh My God,Rare Atom,Oh My God,1-1,1,1,2,Oh My God|Rare Atom,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,22 Feb 2024 - Spring Season,2024-02-22,Rare Atom,Oh My God,Rare Atom,Oh My God,0-2,0.0,2.0,2.71,1.52,0.359338,0.640662,Rare Atom,Oh My God,True,BO3,0.4050852411104829,0.5949147588895172,0.4050852411104829,True
10767-10767,LPL,2024,2024-02-22,EDward Gaming,Ninjas in Pyjamas,Ninjas in Pyjamas,EDward Gaming,2-0,2,0,2,EDward Gaming|Ninjas in Pyjamas,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,22 Feb 2024 - Spring Season,2024-02-22,EDward Gaming,Ninjas in Pyjamas,EDward Gaming,Ninjas in Pyjamas,0-2,0.0,2.0,6.15,1.14,0.156379,0.843621,EDward Gaming,Ninjas in Pyjamas,True,BO3,0.2501146491434448,0.7498853508565553,0.2501146491434448,True
10768-10768,LPL,2024,2024-02-23,FunPlus Phoenix,LGD Gaming,LGD Gaming,FunPlus Phoenix,2-1,2,1,3,FunPlus Phoenix|LGD Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,23 Feb 2024 - Spring Season,2024-02-23,FunPlus Phoenix,LGD Gaming,FunPlus Phoenix,LGD Gaming,2-1,2.0,1.0,1.72,2.17,0.557841,0.442159,FunPlus Phoenix,LGD Gaming,True,BO3,0.5386375740949632,0.46136242590503684,0.5386375740949632,True
10769-10769,LPL,2024,2024-02-23,Invictus Gaming,Team WE,Invictus Gaming,Team WE,2-1,2,1,3,Invictus Gaming|Team WE,,,,,,,,,,,,,,,,,,,,,,,
